StartNode,EndNodeID,ContactWay
19375,8664,groupmessage
1077,9092,groupmessage
1077,9119,groupmessage
1077,9826,groupmessage
15492,9938,groupmessage
10558,10559,groupmessage
8198,10744,groupmessage
96,10779,groupmessage
20594,11001,groupmessage
958,12100,groupmessage
96,12236,groupmessage
4796,12315,groupmessage
13021,13022,groupmessage
637,13165,groupmessage
637,13342,groupmessage
1077,13981,groupmessage
14018,14019,groupmessage
6119,14073,groupmessage
8198,14254,groupmessage
385,15282,groupmessage
15282,15283,groupmessage
8198,15355,groupmessage
6306,15369,groupmessage
6306,15469,groupmessage
15492,15493,groupmessage
1077,16008,groupmessage
236,16051,groupmessage
16429,16430,groupmessage
958,16451,groupmessage
96,16934,groupmessage
376,17173,groupmessage
240,17304,groupmessage
1077,18278,groupmessage
1077,18299,groupmessage
1077,18542,groupmessage
96,18809,groupmessage
5052,18822,groupmessage
19882,19109,groupmessage
7107,19227,groupmessage
6070,19269,groupmessage
1077,19307,groupmessage
2584,19424,groupmessage
1246,19438,groupmessage
6306,19720,groupmessage
1077,19742,groupmessage
637,19866,groupmessage
6119,20070,groupmessage
14018,20118,groupmessage
1077,20168,groupmessage
1096,20180,groupmessage
20181,20182,groupmessage
96,20183,groupmessage
96,20184,groupmessage
6307,20185,groupmessage
96,20187,groupmessage
